Frame number,1840
First frame,1
Point frequency,200
Analog frequency,1000

Time,GRW1.F,,,GRW1,,,GRW2.F,,,GRW2,,
s,N,N,N,mm,mm,mm,N,N,N,mm,mm,mm
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,-7.13146,54.9366,332.641,226.419,1022.67,0,6.00272,-49.6674,252.997,174.673,1442.61,0
0.005,-7.09941,54.563,333.763,228.094,1023.14,0,6.24972,-49.3048,254.875,174.271,1443.51,0
0.01,-7.04197,55.0687,335.537,228.015,1022.88,0,5.99548,-49.5806,254.849,175.226,1442.29,0
0.015,-7.15042,55.3377,336.319,227.853,1022.35,0,6.1709,-49.6621,255.607,175.872,1442.65,0
0.02,-7.85223,55.2078,334.48,228.691,1022.95,0,6.36129,-49.8374,253.708,174.252,1441.15,0
0.025,-7.32125,55.236,336.672,228.641,1022.49,0,5.89003,-49.3998,255.217,175.572,1441.82,0
0.03,-7.94551,55.4698,334.458,229.025,1023.42,0,6.11484,-50.4811,254.097,175.903,1441.54,0
0.035,-7.93722,55.1986,334.471,229.142,1023.24,0,6.02209,-50.3942,254.489,175.959,1442.07,0
0.04,-8.21441,55.2808,334.473,228.892,1023.39,0,6.38557,-50.2938,252.989,175.534,1442.11,0
0.045,-8.36679,55.0443,334.128,229.565,1023,0,5.83469,-50.124,254.12,176.119,1441.83,0
0.05,-8.44449,54.6777,333.038,229.991,1023.2,0,6.00619,-50.0313,255.217,176.349,1442.13,0
0.055,-8.45261,54.8549,333.745,229.921,1022.66,0,5.91668,-50.2167,255.967,176.691,1441.89,0
0.06,-8.71839,54.9326,333.026,230.27,1023.21,0,5.29402,-49.9555,255.275,178.822,1442.18,0
0.065,-8.34706,54.584,333.775,230.244,1023.08,0,5.64956,-50.2206,255.984,177.984,1441.5,0
0.07,-8.43261,54.3108,331.202,230.18,1023.2,0,5.56821,-50.4102,256.375,178.516,1442.17,0
0.075,-8.42792,54.2206,329.719,230.318,1023.74,0,5.11983,-50.4139,256.375,179.588,1441.58,0
0.08,-8.31733,54.2128,330.094,231.251,1024.52,0,4.74788,-49.6939,254.151,179.507,1440.96,0
0.085,-8.14456,54.1328,330.468,231.158,1023.46,0,4.57913,-50.5167,257.14,180.393,1441.39,0
0.09,-8.31298,53.7597,329.75,231.671,1023.06,0,4.66789,-50.1458,255.643,181.241,1440.48,0
0.095,-8.48107,53.4791,331.607,232.068,1023.11,0,4.38355,-49.9729,257.156,182.049,1441.11,0
0.1,-8.47848,53.9222,330.859,232.64,1024.05,0,4.03489,-50.4368,257.538,181.792,1441.16,0
0.105,-8.47128,53.9158,330.116,233.292,1024.32,0,4.11178,-50.0703,258.295,182.65,1441.38,0
0.11,-8.91669,53.6282,330.126,233.487,1024.11,0,4.20564,-50.2487,257.896,183.187,1440.27,0
0.115,-8.65386,53.7276,330.868,233.793,1022.81,0,4.0268,-50.5273,259.012,182.836,1440.31,0
0.12,-9.34794,53.2419,329.028,234.696,1023.69,0,4.38074,-50.0663,259.016,184.51,1440.38,0
0.125,-9.45417,53.7743,329.748,235.198,1023.18,0,4.8446,-50.6794,258.992,184.599,1438.88,0
0.13,-9.43118,53.4738,327.533,235.425,1023.32,0,4.57239,-50.6009,259.386,184.753,1439.39,0
0.135,-9.69845,53.9032,326.797,235.989,1025.01,0,4.73116,-50.2389,261.591,185.686,1439.24,0
0.14,-10.0645,53.4541,328.281,235.449,1023.18,0,4.10421,-50.5299,261.994,184.614,1439.73,0
0.145,-9.51428,53.5579,327.898,235.963,1024.11,0,4.55484,-50.3347,261.599,184.833,1440.21,0
0.15,-9.68547,53.1871,326.828,236.339,1024,0,4.31864,-51.0612,260.148,185.546,1439.54,0
0.155,-9.58703,53.092,326.828,237.032,1023.7,0,3.68013,-51.0856,262.016,186.051,1440.42,0
0.16,-10.1233,53.1638,325.347,236.67,1024.83,0,4.13306,-51.1514,260.895,186.394,1438.75,0
0.165,-10.3841,52.6991,325.337,236.284,1025.23,0,3.9579,-51.1607,261.289,186.661,1440.2,0
0.17,-10.2764,52.5974,324.625,237.354,1025.35,0,4.21756,-50.9718,260.523,186.435,1438.88,0
0.175,-10.1788,52.1592,323.899,237.449,1025.41,0,4.07493,-50.426,262.448,187.901,1439.76,0
0.18,-9.73175,52.3444,327.549,237.954,1024.7,0,3.36091,-50.8064,265.049,188.027,1440.38,0
0.185,-9.96892,51.6123,325.393,238.389,1025.55,0,3.56243,-51.1521,260.964,188.134,1438.53,0
0.19,-10.1514,51.5197,326.1,237.999,1025.43,0,3.63169,-50.5189,261.698,187.958,1438.23,0
0.195,-10.3237,51.2394,324.671,238.082,1025.61,0,2.93141,-50.6216,260.654,188.844,1438.34,0
0.2,-10.3455,51.5161,326.454,237.45,1025.29,0,3.54606,-50.4373,261.359,189.198,1439.51,0
0.205,-10.2224,51.0605,324.271,238.309,1026.21,0,3.45909,-50.5186,262.049,189.88,1438.52,0
0.21,-10.141,51.0522,323.874,238.829,1026.21,0,3.35646,-50.6206,263.962,189.881,1439.17,0
0.215,-10.7527,50.8543,324.656,238.91,1025.71,0,3.45292,-50.7043,263.934,190.446,1438.01,0
0.22,-10.225,51.23,323.918,238.942,1026.51,0,3.55254,-51.1509,263.203,189.794,1437.36,0
0.225,-10.4834,50.7663,322.807,239.22,1026.42,0,3.91431,-51.33,265.41,190.075,1438.64,0
0.23,-10.1171,51.1337,322.794,240.191,1026.16,0,3.65879,-51.4219,265.041,190.584,1438.17,0
0.235,-10.1037,50.9471,321.742,241.045,1027.16,0,4.72112,-51.8558,265.767,189.957,1438.45,0
0.24,-10.7475,50.8457,324.636,239.943,1025.41,0,4.72897,-51.7639,266.141,190.139,1438.55,0
0.245,-10.576,51.3694,322.078,240.842,1026.29,0,4.54797,-52.1292,267.977,190.411,1438.4,0
0.25,-11.5391,50.6349,321.382,240.706,1025.81,0,4.10843,-52.0546,266.914,190.198,1437.97,0
0.255,-10.7549,50.6676,323.202,240.028,1025.01,0,4.36807,-51.6991,268.047,189.945,1439.62,0
0.26,-10.4061,51.2148,323.899,240.066,1025.75,0,4.57237,-52.2223,267.289,190.27,1438.96,0
0.265,-11.112,51.0102,324.251,239.528,1025.41,0,4.55146,-52.3163,267.648,189.951,1438.85,0
0.27,-10.146,51.0619,325,239.259,1025.32,0,4.46696,-52.2323,268.406,190.239,1439.62,0
0.275,-10.3157,50.8629,322.853,239.43,1025.33,0,4.28154,-52.1423,268.388,190.72,1439.08,0
0.28,-10.5789,50.8553,324.265,238.953,1024.78,0,4.27894,-52.0655,268.378,190.262,1439.27,0
0.285,-10.127,50.9711,323.179,238.421,1024.9,0,4.1132,-52.1439,268.453,190.199,1438.34,0
0.29,-9.53586,50.8254,323.17,237.145,1023.52,0,4.6326,-52.2343,268.77,189.761,1438.43,0
0.295,-9.88473,50.6532,322.505,236.087,1023.89,0,4.1054,-52.3283,270.635,189.579,1439.24,0
0.3,-9.36292,51.2051,322.088,235.509,1024.28,0,4.62003,-52.0487,270.934,189.573,1438.96,0
0.305,-8.88971,51.4326,321.772,233.834,1022.46,0,4.7874,-52.0438,270.573,189.418,1438.3,0
0.31,-8.60163,50.8432,320.25,232.152,1023.7,0,5.05329,-52.0477,270.954,189.425,1438.75,0
0.315,-8.34723,50.9684,322.153,230.668,1022.38,0,4.96504,-51.6756,272.082,189.617,1439.24,0
0.32,-7.84076,50.9118,324.642,229.193,1021.34,0,5.22614,-51.767,272.372,189.132,1438.78,0
0.325,-7.47755,50.9515,324.687,228.178,1020.57,0,5.56897,-51.7443,272.021,187.802,1437.78,0
0.33,-7.35908,52.3881,325.75,226.107,1019.75,0,5.67764,-51.9309,272.725,187.861,1438.82,0
0.335,-6.88778,52.0539,324.699,225.872,1021.17,0,5.58289,-51.3951,271.672,187.849,1438.47,0
0.34,-6.65592,52.349,325.354,224.764,1019.89,0,5.94924,-51.4802,270.882,187.706,1438.61,0
0.345,-5.62501,53.0001,325.702,224.428,1018.52,0,6.30305,-51.1141,271.23,187.627,1439.51,0
