Frame number,1840
First frame,1
Point frequency,200
Analog frequency,1000

Time,Moment.Mx2,Moment.My2,Moment.Mz2,Moment.Mx3,Moment.My3,Moment.Mz3
s,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm
0,-39895,-9459.57,1761.01,15975.6,5895.65,-4247.03
0.001,-39742.2,-9819.38,1763.23,15981.2,6192.37,-4334.93
0.002,-40153.1,-9623.44,1760.47,16141.8,5908.84,-4268.19
0.003,-40029.7,-9920.81,1661.4,16034.5,6120.37,-4315.66
0.004,-39864.3,-9861.14,1696.84,16080.4,6152.48,-4185.95
0.005,-40184.1,-10046.5,1710.07,15861.3,6039.83,-4336.67
0.006,-40444.2,-9633.84,1741.75,16123.1,6009.47,-4138.98
0.007,-40114.9,-9587.75,1695.09,16126.2,5766.4,-4281.93
0.008,-40291.7,-9842.31,1776.99,16022.6,5805.9,-4240.85
0.009,-40151.8,-9792.54,1642.42,15900.8,5770.94,-4327.17
0.01,-40311.3,-10075.3,1727.48,16173.8,5798.05,-4260.91
0.011,-40171.8,-10088,1658.63,16176,5897.06,-4285.84
0.012,-40164.9,-10154.5,1727.91,16068.4,5696.37,-4279.02
0.013,-40263.8,-10065.9,1628.53,16075.6,6072.88,-4273.35
0.014,-40046.4,-10124.7,1677.28,16137.6,5757.57,-4260.34
0.015,-40223.9,-10032.1,1644.31,16127.6,5646.03,-4272.7
0.016,-40370.7,-10014.3,1559.65,16078.4,5804.42,-4194.93
0.017,-40314.4,-10160.5,1694.17,16458.3,5800.09,-4172.59
0.018,-40305.9,-10143.9,1625.58,16338.5,5640.53,-4252.79
0.019,-40209,-10257,1629.41,16283.8,5668.51,-4144.64
0.02,-40216.2,-10276.2,1591.16,16387.4,6022.21,-4293.02
0.021,-40662.3,-10052,1539.08,15979.4,5756.13,-4170.42
0.022,-40426.8,-10221.6,1608.09,16141.7,5717.32,-4083.36
0.023,-40563.6,-10206.9,1641.56,16340.3,5815.84,-4196.1
0.024,-40170.9,-10329.9,1592.97,16248.4,5799.89,-4345.86
0.025,-40316.4,-10301.9,1560.42,16318.6,5721.76,-4233.64
0.026,-40590.5,-10389.6,1621.61,16176.8,5688.6,-4232.83
0.027,-40680.2,-10234.3,1572.66,16188.3,5565.94,-4119.54
0.028,-40464.5,-10290.1,1540.8,16144.7,5670.39,-4252.13
0.029,-40411.9,-10149.5,1591.38,16380.5,5716.23,-4187.41
0.03,-40372.9,-10391.3,1556.18,16314.3,5594.35,-4271.12
0.031,-40057,-10270,1559.37,16484.8,5566.04,-4139.15
0.032,-40421,-10492.1,1508.18,16148.7,5485.43,-4137.63
0.033,-40277.5,-10471.8,1539.74,16208.8,5625.96,-4122.35
0.034,-40308.6,-10415.1,1541.72,16407.4,5745.28,-4255.27
0.035,-40314.6,-10432.4,1590.01,16207,5596.91,-4228.97
0.036,-40345.9,-10389.8,1489.41,15952.4,5397.65,-4090.91
0.037,-40371.6,-10414.3,1538.51,16561.4,5582.34,-4249.29
0.038,-40109.8,-10640.5,1593.02,16520.3,5668.95,-4185.77
0.039,-40198.2,-10336.9,1523.91,16176.5,5458.59,-4179.37
0.04,-40367.1,-10342.5,1521.35,16102.5,5703.11,-4086.26
0.041,-39961.4,-10388.4,1459.33,16087.3,5547.68,-4184.5
0.042,-40063,-10428.4,1611.17,16210,5493.67,-4160.98
0.043,-40156.3,-10464.1,1454.64,16556.1,5499.65,-4112.25
0.044,-40166.2,-10515.8,1489.95,16363,5465.13,-4176.11
0.045,-40199.2,-10551.5,1454.69,16248,5565.89,-4119.68
0.046,-40200.7,-10494.4,1370.83,16232.1,5553.73,-4139.21
0.047,-40101.9,-10547.3,1420.99,16107.7,5380.42,-4067.79
0.048,-39748.8,-10434.1,1440.64,16212,5400.31,-4131.3
0.049,-39934.4,-10667.5,1388.15,16701.2,5363.69,-3997.22
0.05,-40134.5,-10665.8,1472.01,16243.2,5557.42,-4009.53
0.051,-40060.8,-10610,1508.95,16244.8,5457.66,-4135.67
0.052,-40137.5,-10511.2,1470.34,16102.7,5532.78,-4097.92
0.053,-39826.8,-10624.4,1337.89,16204.4,5296.51,-4106.73
0.054,-39994.3,-10592.1,1456.72,16408.1,5366.88,-4130.2
0.055,-40041.5,-10667.1,1490.85,16352.3,5480.45,-4026.18
0.056,-40186.5,-10547.2,1384.82,16196.7,5304.65,-4064.18
0.057,-39879.6,-10790.6,1474.72,16464,5450.9,-4044.25
0.058,-40081.2,-10519.1,1335.73,15823.6,5427.64,-4093.74
0.059,-39823.2,-10553.4,1406.56,16075.4,5353.99,-4086.26
0.06,-40144.4,-10773.3,1488.2,16239.4,4908.99,-3936.33
0.061,-40081.7,-10712.4,1333.59,16359.3,4965.19,-3980.74
0.062,-39959.2,-10708.4,1366.98,16286.2,5073.13,-4009.38
0.063,-40034.7,-10684.2,1471,16322.5,5235.47,-3843.17
0.064,-39856.2,-10741.2,1420.14,16662,5061.54,-4048.09
0.065,-40181,-10749.8,1352.99,16454.1,5133.27,-4031.73
0.066,-39879.2,-10662.3,1335.7,16441.4,4999.02,-3964.11
0.067,-40037.3,-10747.2,1434.99,16284.2,5015.63,-3942.99
0.068,-40130.5,-10818.2,1330.91,16301.8,4944.59,-3916.26
0.069,-39927.7,-10744,1385.16,16312.5,5118.13,-3816.55
0.07,-39916.1,-10666.6,1437.87,16309.6,5016.14,-3940.27
0.071,-39974.4,-10744.2,1402.18,16418.9,5031.24,-3854.77
0.072,-39865.3,-10816.4,1418.52,16363.3,4794.79,-3822.28
0.073,-39902.3,-10777.7,1333.94,16252,4744.41,-3970.5
0.074,-39906.3,-11025.9,1300.53,16504.7,4984.46,-3830.29
0.075,-39914.3,-10664.6,1401.73,16461.9,4715.78,-3990.23
0.076,-40112.9,-10696.5,1451.88,16422.9,4799.49,-3866.93
0.077,-39767.8,-10894.5,1366.88,16504.8,4756.63,-3841.09
0.078,-39995.9,-10877.9,1366.65,16553.7,5015.11,-3897.16
0.079,-39801.1,-10853.6,1300.46,16549.8,4637.15,-3793.21
0.08,-40216.7,-10984.3,1365.13,16484.5,4733.25,-3757.01
0.081,-39855.4,-10796.5,1420.82,16302.1,4475.52,-3807.78
0.082,-39695.3,-11154.3,1352.6,16660.5,4646.92,-3898.89
0.083,-39894.5,-10943.4,1351.2,16552.9,4632.35,-3771.48
0.084,-39857.4,-11025.4,1400.94,16446.5,4806.3,-3757.35
0.085,-39908.2,-10955.1,1351.21,16567.1,4537.66,-3851.61
0.086,-40154.2,-11218.7,1381.64,16649.2,4494.48,-3720.74
0.087,-40056.7,-10985.9,1366.22,16349.3,4555.53,-3704.02
0.088,-40085.9,-11192.3,1436.19,16694.5,4520.83,-3786.55
0.089,-39789.2,-11225.1,1369.3,16286.1,4444.03,-3721.59
0.09,-39691.5,-11107,1369.45,16706,4336.45,-3586.89
0.091,-40005.6,-11173.3,1418.91,16596,4390,-3653.51
0.092,-39957.1,-11184.1,1263.99,16556.7,4588.33,-3618.26
0.093,-39962.9,-11090.4,1282.64,16743.6,4509.74,-3762.53
0.094,-39853.6,-11371.8,1350.7,16599.1,4226.41,-3602.76
0.095,-39933.5,-11298.4,1386.62,16646.3,4146.48,-3598.89
0.096,-40241.7,-11487.5,1311.7,16876.2,4309.26,-3583.18
0.097,-39893.2,-11224.1,1264.12,17069.6,4367.72,-3668.77
0.098,-40165.5,-11537.1,1178.07,16836.8,4098.14,-3554.12
