Frame number,1853
First frame,1
Point frequency,200
Analog frequency,1000

Time,GRW1.F,,,GRW1,,,GRW2.F,,,GRW2,,
s,N,N,N,mm,mm,mm,N,N,N,mm,mm,mm
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,-3.01282,52.4809,294.481,229.972,978.151,0,-1.37244,-52.9291,270.331,214.479,1428.48,0
0.005,-2.83976,52.6906,293.392,229.978,978.758,0,-1.42443,-53.1299,273.591,214.422,1430.57,0
0.01,-2.88792,52.5632,293.612,230.147,978.6,0,-1.8633,-53.2198,271.259,214.343,1428.95,0
0.015,-2.95739,52.6348,295.522,230.092,978.123,0,-1.37804,-53.1329,270.169,214.59,1429.49,0
0.02,-2.38407,53.0027,295.086,229.934,978.046,0,-1.77177,-52.9206,272.401,214.152,1429.72,0
0.025,-2.92286,52.586,296.025,229.668,978.253,0,-1.52546,-52.925,271.463,214.12,1429.52,0
0.03,-2.74978,52.7073,295.336,229.969,978.659,0,-1.5201,-52.7204,268.867,214.462,1428.28,0
0.035,-2.74838,53.082,295.575,229.903,977.945,0,-1.87668,-52.7659,271.167,214.628,1429.35,0
0.04,-2.51154,52.5711,296.086,229.461,977.706,0,-1.76007,-52.7963,270.079,214.433,1429.93,0
0.045,-2.51303,52.6622,295.891,229.201,977.488,0,-1.42155,-52.8176,270.791,213.968,1429.49,0
0.05,-2.28868,53.0171,295.972,228.847,977.746,0,-1.53527,-53.0654,269.628,214.329,1429.45,0
0.055,-2.46649,52.8294,295.579,229.167,978.627,0,-1.22777,-52.6869,268.371,213.965,1429.55,0
0.06,-2.48817,52.9452,294.908,229.196,978.114,0,-1.42626,-52.6166,268.596,213.549,1428.7,0
0.065,-2.54317,52.9393,296.05,228.47,977.895,0,-1.55452,-52.4869,269.357,214.496,1429.46,0
0.07,-2.28434,53.2628,295.489,228.33,977.613,0,-0.973472,-53.0298,269.758,213.046,1429.25,0
0.075,-2.62647,53.3943,294.581,229.18,979.271,0,-1.27354,-52.8107,268.529,213.157,1429.59,0
0.08,-2.7036,53.761,296.814,228.384,977.835,0,-1.08039,-53.308,269.398,213.025,1430.17,0
0.085,-2.70186,53.2205,296.89,228.237,978.083,0,-0.929802,-52.8942,269.702,213.161,1430.23,0
0.09,-2.3672,53.2928,298.54,228.396,976.672,0,-0.81395,-52.6798,269.065,212.255,1430.23,0
0.095,-2.41301,53.2579,298.315,228.832,977.82,0,-0.913135,-53.0154,267.657,212.754,1430.23,0
0.1,-2.24052,53.4022,297.137,228.39,977.889,0,-1.03865,-52.6995,268.897,212.595,1430.35,0
0.105,-2.58478,53.5309,298.229,228.147,976.914,0,-1.46879,-52.8762,266.179,212.516,1429.92,0
0.11,-2.7142,53.4445,297.804,228.4,977.286,0,-1.10141,-52.4079,265.669,212.156,1429.5,0
0.115,-2.34563,53.4271,297.738,228.438,977.596,0,-1.22463,-52.578,266.788,212.878,1429.35,0
0.12,-2.95243,53.6171,295.78,228.502,977.783,0,-1.33668,-52.0991,265.368,212.057,1429.93,0
0.125,-2.57398,53.2784,297.318,228.745,976.881,0,-1.62271,-52.0684,263.006,212.022,1429.09,0
0.13,-2.55353,53.6373,298.779,228.193,977.44,0,-1.27813,-51.9727,263.633,212.006,1430.27,0
0.135,-2.55756,53.2562,297.875,228.168,977.5,0,-1.28265,-51.9745,264.382,212.582,1430.51,0
0.14,-2.71265,53.3842,299.059,228.656,976.842,0,-0.434941,-51.9013,263.351,212.77,1429.76,0
0.145,-2.81237,53.247,295.969,228.131,977.749,0,-0.804381,-51.935,264.791,211.729,1430.39,0
0.15,-2.62482,52.862,297.965,228.043,977.196,0,-0.627006,-51.8456,263.914,212.483,1430.03,0
0.155,-3.0266,53.1012,295.536,228.448,978.54,0,-0.689978,-52.4852,265.995,211.887,1431.64,0
0.16,-2.91356,52.8669,297.757,227.889,977.191,0,0.0650097,-52.3016,264.82,211.748,1429.76,0
0.165,-3.303,53.3134,296.269,227.895,977.919,0,-0.0465415,-52.5562,265.084,211.732,1431.13,0
0.17,-2.62484,53.5344,298.724,227.536,977.95,0,-0.610437,-52.4654,265.435,211.313,1431.5,0
0.175,-3.01888,53.0124,296.722,228.165,977.519,0,-0.247529,-53.0904,266.01,212.088,1430.57,0
0.18,-2.66914,53.5749,296.922,228.318,977.09,0,0.0994377,-52.5116,266.263,212.266,1431.68,0
0.185,-2.87782,53.7944,297.228,227.803,977.587,0,-0.271477,-52.2355,265.688,210.756,1430.02,0
0.19,-2.75875,53.4904,297.166,227.97,978.311,0,-0.315655,-52.2407,266.332,211.381,1430.21,0
0.195,-2.20416,53.8073,297.671,228.582,977.694,0,-0.738302,-52.6784,265.926,211.884,1430.75,0
0.2,-2.60305,53.7541,298.336,228.116,977.491,0,-0.60254,-52.9272,266.076,211.763,1429.37,0
0.205,-2.9802,53.5995,298.208,227.715,977.56,0,-0.606923,-52.715,266.162,212.536,1430.67,0
0.21,-2.77566,53.6286,297.814,227.47,977.161,0,-0.688251,-52.0068,267.2,211.567,1430.8,0
0.215,-2.4404,53.6094,298.263,227.888,977.655,0,-0.775131,-52.6166,267.55,211.642,1429.94,0
0.22,-2.42528,53.394,297.555,227.872,978.013,0,-0.719171,-52.2751,267.018,211.957,1429.64,0
0.225,-2.82307,53.7938,299.893,227.92,977.447,0,-1.03304,-52.6319,265.619,211.539,1429.65,0
0.23,-2.34827,53.3548,296.586,229.115,978.217,0,-0.682745,-52.9726,267.667,211.388,1430.57,0
0.235,-2.509,53.9387,299.877,228.206,976.858,0,-0.570577,-52.8443,267.902,212.655,1431.19,0
0.24,-2.23684,53.3971,297.236,228.318,978.376,0,-0.0675584,-52.8862,266.651,212.351,1428.98,0
0.245,-2.0057,53.4531,297.516,228.176,977.816,0,-0.122056,-52.7834,269.402,211.974,1429.79,0
0.25,-2.45402,53.3956,299.996,227.502,977.803,0,-0.260047,-52.4667,268.291,211.895,1430.91,0
0.255,-2.22584,53.5805,298.856,228.081,977.962,0,0.0774434,-52.9369,268.015,211.337,1430.86,0
0.26,-2.18337,53.176,298.016,228.396,978.172,0,-0.0789946,-52.9898,268.676,211.767,1430.91,0
0.265,-2.38192,53.3759,299.022,228.226,978.293,0,-0.190102,-53.121,266.302,211.571,1430.73,0
0.27,-2.42981,53.1878,299.113,228.535,977.886,0,-0.309431,-52.9707,268.197,211.07,1431.13,0
0.275,-2.04572,53.0863,298.676,228.763,978.067,0,-0.373028,-52.8135,266.929,211.198,1430.41,0
0.28,-2.61937,52.9705,298.394,228.012,977.86,0,-0.512192,-52.8172,268.53,212.12,1430.41,0
0.285,-1.94654,53.439,296.98,228.186,977.904,0,-0.73392,-53.3801,267.581,210.934,1430.37,0
0.29,-2.36095,52.9512,298.825,228.147,977.981,0,-0.0958339,-52.584,266.809,211.618,1430.35,0
0.295,-2.34655,53.3451,298.451,228.641,977.256,0,-0.648287,-52.6734,266.339,211.179,1429.58,0
0.3,-2.17059,53.2359,297.145,228.59,977.699,0,-0.687433,-52.4475,268.159,211.413,1430.91,0
0.305,-2.28219,53.0034,296.462,228.182,978.107,0,-0.846384,-52.939,266.315,211.835,1429.91,0
0.31,-2.4615,52.8444,295.737,228.404,977.56,0,-0.893397,-52.8742,265.244,212.514,1429.64,0
0.315,-2.58532,52.916,296.098,228.279,978.565,0,-0.827167,-52.3683,266.977,211.218,1430.06,0
0.32,-2.65117,52.8947,295.055,229.088,977.463,0,-0.708286,-52.4659,266.507,212.155,1429.83,0
0.325,-2.41687,53.2173,293.472,228.652,977.507,0,-0.264135,-52.747,267.552,211.478,1430.19,0
0.33,-2.28497,52.6848,295.595,228.969,977.384,0,-0.438373,-53.0082,267.62,211.868,1429.87,0
0.335,-2.41057,52.608,296.11,228.459,978.313,0,-0.15657,-53.1037,266.599,211.892,1429.86,0
0.34,-2.68666,52.8677,295.429,229.131,977.851,0,-0.293625,-52.7227,267.309,211.679,1432.05,0
