Frame number,1661
First frame,1
Point frequency,200
Analog frequency,1000

Time,Moment.Mx2,Moment.My2,Moment.Mz2,Moment.Mx3,Moment.My3,Moment.Mz3
s,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm
0,-25819,-19349.5,-1119.64,16162.7,628.154,-2047.02
0.001,-25825.2,-19404.6,-1095.06,16195.1,709.382,-1959.09
0.002,-25631.1,-19314.5,-1095.7,16491,792.551,-2029.64
0.003,-25528.7,-19337.5,-1002.3,16442.5,711.464,-2005.44
0.004,-25620,-19230.2,-1017.52,16231.3,791.146,-2098.74
0.005,-25734.8,-19140.4,-977.43,16417.1,644.755,-2063.89
0.006,-25753.9,-19242.8,-1019.05,16208.8,748.12,-2064.78
0.007,-25772.6,-19233.9,-993.521,16291.6,773.154,-1955.35
0.008,-25646.2,-19081.6,-1077.37,16424.1,799.322,-2030.82
0.009,-25571.9,-19036.8,-1023.13,16433.3,915.912,-2055.05
0.01,-25546.7,-19092.4,-1022.82,16377.6,849.987,-2126.18
0.011,-25571.5,-19146.5,-998.829,16456.2,901.32,-2119.76
0.012,-25493.6,-19002.5,-928.493,16357,893.826,-2051.45
0.013,-25458.8,-18966.2,-957.394,16163.5,974.364,-2139.29
0.014,-25661.1,-19092.1,-1052.23,16504.7,948.642,-2119.12
0.015,-25547.7,-19160.1,-955.086,16563.5,1073.1,-2232.68
0.016,-25512.7,-19195.5,-886.692,16390.3,954.797,-2221.98
0.017,-25543.6,-19055.2,-951.09,16357.6,870.399,-2232.54
0.018,-25572.9,-19034.8,-964.432,16343,989.16,-2108.87
0.019,-25604.5,-19024.6,-983.784,16135.9,1084.08,-2169.78
0.02,-25540.5,-18906.5,-957.784,16510.1,1090.62,-2245.18
0.021,-25456.7,-18941.2,-997.709,16470.1,1238.82,-2260
0.022,-25640,-18748.1,-951.604,16515.6,1207.38,-2267.76
0.023,-25498.7,-18772.2,-972.581,16269.2,1092.65,-2187.67
0.024,-25655.8,-18875.7,-901.173,16138.7,1117.06,-2169.91
0.025,-25546.9,-18847.7,-895.698,16291.4,1249.51,-2259.73
0.026,-25692.7,-18916,-872.453,16275.3,1309.86,-2276.66
0.027,-25449.1,-18757.6,-941.298,16463.4,1173.57,-2242.21
0.028,-25360.6,-18652.7,-954.927,16275.6,1270.13,-2285.99
0.029,-25315.2,-18806.3,-941.493,16354.4,1352.88,-2272.41
0.03,-25333.2,-18857.4,-961.675,16257.6,1401.32,-2285.46
0.031,-25459.3,-18682.1,-927.653,16315.2,1425.36,-2332.68
0.032,-25548.6,-18680.2,-878.178,16310.7,1539.77,-2360.19
0.033,-25524.4,-18712.3,-900.151,16137.4,1446.55,-2323.98
0.034,-25541.1,-18784.1,-938.481,16052.5,1523.69,-2392.67
0.035,-25561.5,-18732.2,-847.236,16272.1,1583.06,-2352.59
0.036,-25612.8,-18732.1,-845.178,16046.3,1556.35,-2310.18
0.037,-25630.7,-18660.4,-933.447,16211.2,1705.98,-2304.04
0.038,-25348.8,-18727.3,-902.443,16363.1,1887.15,-2402.26
0.039,-25394.9,-18759.5,-932.868,16230.6,1776.15,-2477.54
0.04,-25516.8,-18758,-969.144,16327.9,1909.67,-2455.45
0.041,-25298.5,-18790.1,-997.614,16414.8,2034.39,-2498.89
0.042,-25477.7,-18821.8,-913.004,16271,1929.16,-2434.4
0.043,-25397.1,-18648.6,-976.996,15999.9,1908.36,-2436.24
0.044,-25591.3,-18729.7,-983.692,15867.8,1990.35,-2449.45
0.045,-25531.9,-18772.6,-901.153,15953,2037.99,-2519.84
0.046,-25504.2,-18478,-954.055,16051.9,2037.45,-2578.34
0.047,-25340.6,-18533.7,-923.248,15997.3,2086.61,-2468.12
