Frame number,1450
First frame,1
Point frequency,200
Analog frequency,1000

Time,Moment.Mx2,Moment.My2,Moment.Mz2,Moment.Mx3,Moment.My3,Moment.Mz3
s,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm
0,-20983.8,-9890.21,458.886,21214.8,-4592.99,1009.82
0.001,-20764.2,-9785.89,417.865,21290.8,-4597.51,1042.72
0.002,-20803.7,-9689.31,460.737,21182.8,-4783.98,1012.72
0.003,-20965.2,-9821.75,532.888,21269.3,-4768.42,986.592
0.004,-20956.4,-9909.39,509.655,21332.3,-4696.82,948.357
0.005,-20914.8,-9913.27,452.099,21214.1,-4630.54,929.598
0.006,-21112.9,-9811.9,452.895,21238.7,-4685.7,962.729
0.007,-21185.2,-9819.47,490.262,21204.6,-4767.04,993.187
0.008,-21120,-9799.35,489.512,20968.8,-4759.07,1001.95
0.009,-21158.2,-9739.05,468.276,21055,-4683.71,1048.77
0.01,-21122.6,-9769.21,439.515,21187.6,-4607.92,1044.86
0.011,-21102.8,-9821.42,409.497,21154.4,-4680.14,988.051
0.012,-21038.3,-9869.65,394.293,21146.4,-4644.68,992.535
0.013,-20908.7,-9812.01,447.004,21124.9,-4645.41,970.161
0.014,-20995.7,-9787.75,465.085,21085.1,-4826.27,959.893
0.015,-21099.6,-9816.39,455.882,21212.4,-4725.74,996.155
0.016,-20965.1,-9759.13,439.939,21334.6,-4764.72,956.687
0.017,-20980.4,-9772.76,423.231,21073.6,-4791.99,980.398
0.018,-20895.5,-9856.53,437.718,21043.9,-4593.25,1056.95
0.019,-20844.8,-9895.09,465.139,21228.7,-4573.48,1012.29
0.02,-20889.9,-10003.8,464.569,21295.7,-4501.6,918.143
0.021,-20925.6,-9987.84,503.357,21145.8,-4572.03,937.782
0.022,-20974.7,-9854.13,487.21,20982.2,-4630.02,947.211
0.023,-20948.9,-9887,399.273,20988.4,-4659.5,963.591
0.024,-20965.2,-9867.54,388.884,20842.1,-4688.44,994.574
0.025,-20945.8,-9859.14,429.123,21040.2,-4681.89,1011.88
0.026,-21045,-9916.04,426.46,21195.7,-4617.38,997.227
0.027,-21005.8,-9841.45,403.838,21075.3,-4516.96,1010.84
0.028,-20982.4,-9713.03,423.829,21083.1,-4505.31,1016.07
0.029,-21059.8,-9753.73,421.14,21121.4,-4603.28,953.469
0.03,-21036.7,-9929.43,446.317,21037.3,-4658.15,945.811
0.031,-20977.5,-9927.11,450.159,21088.8,-4556.67,997.447
0.032,-20962.5,-9889.82,453.657,21169.9,-4507.98,1023.73
0.033,-20923.6,-9902.96,458.037,21197.6,-4556.14,1010.15
0.034,-20905.3,-9956.46,438.833,21160.8,-4528.15,1032.27
0.035,-20874.3,-9974.16,464.644,21039.8,-4556.31,952.786
0.036,-20920.3,-9859.36,444.326,20989.9,-4637.16,905.794
0.037,-20965.2,-9830,404.825,20958.9,-4611.64,957.694
0.038,-21058.9,-9916.58,436.356,20940.9,-4642.31,966.798
0.039,-21023.8,-9912.33,448.258,20803.6,-4456.46,951.016
0.04,-20913.7,-9790.11,414.885,20884.4,-4430.79,948.129
0.041,-20977.4,-9736.93,404.261,21054.6,-4503.42,950.256
0.042,-20914.9,-9921.59,405.565,21019.8,-4535.3,912.949
0.043,-20820.9,-10017.3,396.563,20874.9,-4698.21,941.601
0.044,-20917.5,-9953.63,404.456,20925,-4726.75,985.427
0.045,-21045.4,-9900.5,429.391,21070.3,-4594.87,941.016
0.046,-21024.5,-9879.5,432.226,20985,-4580.05,910.916
0.047,-20949.2,-9968.53,428.364,20944,-4525,928.089
0.048,-20978.5,-10009.4,423.51,21050.9,-4428.73,923.99
0.049,-21051,-9998.1,402.755,20986.9,-4483.8,934.479
0.05,-21005.1,-9998.54,389.406,20965,-4504.27,959.461
0.051,-20912.6,-10040.9,394.568,21030,-4487.11,912.194
0.052,-20980.7,-10071.5,415.385,21087.2,-4433.3,952.082
0.053,-21148.2,-10144,401.934,21066.3,-4468.08,991.898
0.054,-21142,-9992.93,388.92,20897.8,-4563.18,941.281
0.055,-20943,-9910.8,408.563,20992.5,-4539.97,987.037
0.056,-21007.9,-9931.65,410.496,21076.6,-4575.42,1066.27
0.057,-21123.9,-9933.41,374.907,21132.4,-4562.44,1043.86
0.058,-21104.9,-10071.9,397.076,21259.6,-4421.51,979.677
0.059,-21156.4,-10111.6,409.51,21195.3,-4461.47,966.013
0.06,-21232.2,-10069,416.158,21061.1,-4493.21,1002.91
0.061,-21037.8,-10091.6,402.926,21091.4,-4498.69,1038.74
0.062,-20984.7,-10019.4,415.029,21116.7,-4542.73,1025.83
0.063,-21026.4,-10001,403.877,21029.2,-4555.43,945.057
0.064,-20994.6,-10116,429.29,20987.2,-4507.85,911.513
0.065,-21116.3,-10122,461.998,21050.8,-4520.71,939.491
0.066,-21039.3,-10097.5,479.885,21028.6,-4612.92,990.413
0.067,-20963.2,-10030.5,458.201,20955.8,-4653.09,1031.88
0.068,-21105.5,-10067,445.774,21002.4,-4703.36,1044.75
0.069,-21059.8,-10112,447.97,21207.5,-4681.54,1016.77
0.07,-20979.3,-10027.9,453.177,21100.4,-4623.04,998.314
0.071,-20946.1,-10173.9,443.997,21126.8,-4724.18,1010.58
0.072,-21053,-10126.4,403.523,21190.9,-4706.36,997.955
0.073,-21122.2,-10128.2,434.936,21231.9,-4490.77,1017.21
0.074,-21066,-10156,418.423,21202.1,-4530.18,1041.06
0.075,-21056.3,-10063,424.847,21198.7,-4695.61,1042.79
0.076,-21084.9,-10076.2,422.715,21168.1,-4618.66,946.464
0.077,-21035.9,-10114.9,382.376,21243,-4452.95,991.435
0.078,-20932.1,-10216.7,432.999,21350.1,-4546.01,1004.61
0.079,-21057.1,-10282.3,412.813,21164,-4658.8,999.795
0.08,-21141.3,-10269.1,450.081,21190.5,-4702.07,1009.53
0.081,-21189.8,-10129.3,474.383,21074.5,-4782.01,1024.89
0.082,-21120.8,-10191.1,439.309,21095.3,-4865.83,1022.97
0.083,-21000.2,-10166.4,408.196,21165.6,-4887.02,1022.85
0.084,-20973.1,-10154.6,402.172,21177.4,-4913.74,1057.88
0.085,-21065.2,-10149.9,428.857,21310.8,-4765.89,1028.85
0.086,-21163.4,-10142,459.836,21330.4,-4571.85,987.355
0.087,-21193.9,-10209.7,459.487,21086.2,-4644.75,981.692
0.088,-21063.7,-10233.8,405.336,20976.7,-4743.39,1029.73
