Frame number,1756
First frame,1
Point frequency,200
Analog frequency,1000

Time,GRW1.F,,,GRW1,,,GRW2.F,,,GRW2,,
s,N,N,N,mm,mm,mm,N,N,N,mm,mm,mm
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,4.39478,63.0322,311.903,187.989,960.949,0,-0.790975,-61.3097,287.559,183.106,1445.67,0
0.005,4.18558,63.3501,314.081,187.536,960.467,0,-1.01982,-61.4415,286.877,182.592,1445.89,0
0.01,4.40863,63.8451,313.637,186.964,959.65,0,-0.370098,-61.5987,285.884,181.536,1447.19,0
0.015,4.09921,64.0995,316.962,185.871,959.01,0,-1.11047,-61.2568,285.385,180.936,1446.85,0
0.02,4.0655,64.4222,316.608,186.155,959.19,0,-1.23138,-61.0778,284.925,180.523,1446.95,0
0.025,3.4312,64.9931,318.403,185.86,958.363,0,-1.22849,-60.7809,284.008,179.44,1447.96,0
0.03,3.61847,65.5864,318.984,184.992,958.283,0,-1.33318,-60.9696,280.927,178.684,1446.92,0
0.035,3.01398,66.1845,322.798,184.944,957.618,0,-1.24344,-60.6216,282.495,178.117,1447.97,0
0.04,3.72765,66.4323,322.088,183.714,957.156,0,-1.14777,-61.0849,283.953,177.414,1447.72,0
0.045,3.94282,66.5438,323.113,183.574,956.418,0,0.36038,-61.3596,283.25,176.249,1448.9,0
0.05,4.0035,67.1503,323.857,183.556,956.403,0,1.56526,-61.5544,281.534,174.701,1447.94,0
0.055,3.66434,67.5889,324.482,182.589,955.253,0,3.0935,-61.6498,283.294,173.253,1448.58,0
0.06,3.91354,67.8756,324.308,182.456,954.942,0,4.1086,-62.1184,284.469,172.252,1449.5,0
0.065,3.75724,68.3323,324.061,182.606,954.228,0,4.8691,-61.9655,282.05,170.382,1449.97,0
0.07,4.19281,68.8723,324.395,181.981,953.788,0,5.74913,-61.1518,282.646,168.886,1451.2,0
0.075,3.80231,68.8799,323.302,182.012,953.761,0,5.88944,-61.3637,280.601,167.423,1451.24,0
0.08,2.86888,67.3344,323.591,182.384,953.184,0,6.01628,-61.3991,280.194,166.7,1451.91,0
0.085,2.57981,67.699,320.629,182.67,953.596,0,6.02601,-60.4245,276.696,163.965,1451.93,0
0.09,2.26201,67.354,319.954,182.936,951.386,0,5.97133,-60.2145,274.604,163.114,1452.92,0
0.095,1.13606,67.2978,316.127,182.854,951.844,0,6.1766,-60.4605,272.875,162.115,1453.56,0
0.1,-0.470903,67.6016,315.884,182.958,950.102,0,6.00091,-60.0363,271.239,161.007,1453.74,0
0.105,0.141612,67.017,312.734,183.331,950.108,0,5.99647,-59.8525,270.75,159.618,1453.95,0
0.11,0.599463,66.4825,309.214,182.712,950.17,0,5.64113,-59.9169,269.132,159.241,1453.29,0
0.115,0.0699622,65.1261,307.74,183.502,949.983,0,5.74532,-60.3823,270.093,158.182,1453.6,0
0.12,-0.588483,64.5952,305.188,183.27,950.687,0,5.22831,-60.3582,271.373,157.867,1454.08,0
0.125,-1.89154,63.5109,302.057,183.576,949.212,0,5.2447,-60.327,268.528,157.059,1454.24,0
0.13,-1.32975,62.4842,301.8,183.129,949.004,0,4.8992,-60.0992,270.687,157.874,1454.78,0
0.135,-0.655453,62.2188,301.209,183.622,949.342,0,4.42773,-59.4322,267.789,157.07,1453.01,0
0.14,0.100495,61.2534,300.524,182.909,949.381,0,3.84693,-58.5649,266.083,156.588,1453.77,0
0.145,1.44614,60.759,302.488,183.28,949.8,0,2.62783,-57.2332,265.866,156.631,1453.86,0
0.15,1.96686,59.9361,304.084,182.397,950.57,0,1.77813,-56.6789,264.529,156.762,1453.94,0
0.155,3.09651,59.7627,305.917,182.144,950.309,0,1.39595,-56.0826,265.401,157.615,1452.91,0
0.16,4.63387,59.98,308.732,181.143,951.055,0,1.55164,-56.0768,267.596,158.019,1452.4,0
0.165,5.74129,60.8133,309.663,179.582,950.252,0,3.18074,-56.033,270.88,158.21,1450.96,0
0.17,6.93834,62.7985,310.172,178.326,950.323,0,5.00702,-56.8102,276.286,158.727,1450.75,0
0.175,8.02693,64.2952,308.688,177.572,950.532,0,7.13707,-57.3401,281.061,158.561,1452.3,0
0.18,9.46284,65.293,309.132,175.706,950.058,0,8.67134,-57.9386,282.7,158.246,1451.3,0
0.185,9.78931,66.4228,305.888,174.624,949.907,0,9.87874,-58.6762,287.273,158.427,1452.27,0
0.19,10.5621,66.754,303.797,173.348,949.202,0,10.7932,-59.4173,288.982,158.077,1452.61,0
0.195,10.4357,66.7537,301.074,172.312,949.781,0,11.6385,-59.7845,290.56,158.091,1452.6,0
0.2,10.9117,65.9561,297.783,170.809,948.998,0,11.507,-60.2787,290.566,157.322,1453.37,0
0.205,11.0743,65.8133,293.973,170.008,949.133,0,11.4628,-61.1571,291.583,158.012,1452.31,0
0.21,12.2522,64.936,288.476,169.199,950.064,0,11.5914,-61.7307,289.352,157.386,1453.23,0
0.215,10.4151,65.0321,286.161,168.814,949.915,0,11.4015,-62.3376,288.362,157.511,1452.46,0
0.22,9.73828,63.3144,281.914,167.955,949.583,0,10.4164,-63.0678,287.307,157.615,1453.65,0
0.225,11.4052,63.1876,279.455,167.359,949.587,0,10.0036,-63.106,286.219,158.167,1453.63,0
0.23,12.4732,62.1603,274.954,166.793,950.208,0,9.37388,-63.2712,285.871,158.66,1452.84,0
0.235,12.8814,61.7545,272.87,166.065,950.583,0,9.00536,-63.7361,284.659,159.539,1453.13,0
0.24,13.6106,61.3882,273.354,165.609,950.189,0,8.16567,-63.8777,284.313,160.135,1452.64,0
0.245,14.4199,61.9017,271.386,164.83,951.134,0,7.42105,-64.1107,283.988,161.166,1452.72,0
0.25,15.9262,61.8906,272.357,164.791,950.821,0,5.93996,-63.8745,283.542,162.71,1452.26,0
0.255,17.6504,62.6487,273.803,164.311,950.388,0,4.78285,-63.2188,279.75,165.098,1451.26,0
0.26,18.4496,63.4889,274.383,164.516,951.923,0,3.09189,-62.6497,281.156,167.76,1449.92,0
0.265,19.9081,63.9371,276.578,164.245,951.565,0,1.6475,-62.4484,284.049,170.745,1449.38,0
0.27,20.5244,64.6494,277.668,164.763,951.699,0,0.893474,-62.4361,287.033,172.591,1447.9,0
0.275,20.4916,65.7674,277.396,164.38,952.071,0,0.553226,-63.3925,293.258,175.59,1447.83,0
0.28,20.4213,66.2431,279.337,165.287,951.428,0,1.23356,-64.0633,298.037,177.543,1445.88,0
0.285,20.2387,67.3872,278.581,165.416,952.237,0,2.25856,-64.4586,303.568,179.089,1444.47,0
0.29,19.7385,67.935,279.444,166.556,951.545,0,3.27704,-64.6792,311.45,180.675,1444.52,0
0.295,19.1572,67.7593,278.494,167.505,952.637,0,4.42747,-64.4116,314.23,181.59,1443.68,0
0.3,18.2893,67.5709,275.68,168.348,952.822,0,5.32134,-65.1385,318.794,183.157,1443.24,0
0.305,17.3144,67.2803,275.344,170.144,953.404,0,5.1007,-65.3629,322.03,184.052,1442.96,0
0.31,16.0845,66.2056,275.373,171.488,953.439,0,5.08269,-65.7556,323.294,185.778,1442.69,0
0.315,14.7344,65.5792,273.086,172.911,954.649,0,4.91667,-66.4482,324.889,187.076,1441.6,0
0.32,14.0292,64.1553,273.021,174.62,955.147,0,4.39717,-67.2799,326.724,188.373,1441.63,0
0.325,13.1915,63.4365,274.794,177.428,956.294,0,4.19016,-67.4478,325.253,190.166,1440.65,0
0.33,11.5769,61.9487,275.338,180.174,958.564,0,3.65062,-67.3125,325.384,190.97,1440.28,0
0.335,10.1742,60.7375,277.495,182.902,959.234,0,3.0501,-68.0005,325.103,192.953,1440.04,0
0.34,8.99428,59.907,287.65,187.627,959.856,0,2.74901,-67.8414,324.364,193.892,1439.25,0
0.345,7.59031,59.1749,295.161,190.691,962.698,0,2.04487,-67.5053,324.5,195.315,1439.09,0
0.35,6.86217,58.7224,305.569,193.904,964.996,0,1.48834,-67.3162,322.4,196.868,1437.84,0
0.355,6.46724,58.3201,312.783,197.202,965.496,0,1.10656,-65.9355,318.834,198.285,1437.73,0
