Frame number,1337
First frame,1
Point frequency,200
Analog frequency,1000

Time,GRW1.F,,,GRW1,,,GRW2.F,,,GRW2,,
s,N,N,N,mm,mm,mm,N,N,N,mm,mm,mm
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,-5.40114,56.0487,283.318,238.844,965.323,0,2.71527,-54.8033,259.713,216.859,1443.15,0
0.005,-5.31222,55.7085,281.798,239.096,965.865,0,2.61858,-55.5601,258.521,217.068,1443.45,0
0.01,-5.39907,56.0757,283.337,238.431,965.444,0,2.87684,-55.3078,258.786,216.586,1443.14,0
0.015,-5.2187,55.7797,282.036,238.529,965.513,0,2.75743,-55.6441,256.911,216.793,1443.02,0
0.02,-5.04934,55.8659,283.127,238.408,965.961,0,2.86224,-55.2959,258.269,216.214,1442.94,0
0.025,-5.32539,55.7144,282.242,238.458,965.631,0,2.74017,-55.6645,259.553,216.61,1442.56,0
0.03,-4.91832,56.1378,282.464,238.165,965.914,0,2.85339,-55.225,258.075,216.864,1443.28,0
0.035,-5.34054,55.4802,282.458,238.37,964.649,0,2.45334,-55.0561,258.128,217.084,1443.45,0
0.04,-5.09921,56.1302,282.757,238.497,965.584,0,2.14453,-55.2837,258.624,216.243,1442.2,0
0.045,-5.02167,55.817,281.999,238.432,965.105,0,2.25976,-55.2065,258.585,215.852,1443.15,0
0.05,-4.97625,55.677,284.104,238.169,965.467,0,2.63813,-55.1718,259.172,216.454,1442.65,0
0.055,-5.26149,55.9247,282.55,238.8,965.117,0,2.35053,-54.8463,258.524,216.374,1441.91,0
0.06,-4.98137,56.415,284.228,238.694,964.763,0,2.69349,-55.2364,258.608,217.023,1443.03,0
0.065,-4.90107,55.6352,283.722,238.719,965.143,0,2.94312,-55.4119,258.425,216.838,1441.95,0
0.07,-4.86703,56.2516,283.494,237.961,965.751,0,2.82095,-54.8399,259.276,216.364,1443.55,0
0.075,-4.72544,55.8256,284.508,238.149,965.546,0,3.07887,-55.1064,258.905,216.916,1443.9,0
0.08,-4.71874,56.1169,283.358,237.884,965.508,0,3.14429,-55.279,257.258,216.329,1441.97,0
0.085,-5.17961,55.7428,281.768,238.31,965.897,0,2.94004,-54.6804,257.662,215.986,1442.36,0
0.09,-5.08688,55.8482,282.566,237.93,965.828,0,3.16959,-55.1482,258.358,216.607,1442.82,0
0.095,-4.91913,56.2011,282.353,237.742,965.304,0,2.74025,-55.1134,257.77,216.546,1443.71,0
0.1,-5.17388,55.9167,282.73,237.736,964.697,0,2.67913,-55.1074,255.982,216.67,1442.54,0
0.105,-4.96575,55.9863,284.365,237.191,964.79,0,3.05983,-55.145,257.685,216.956,1443.15,0
0.11,-4.772,55.4339,283.554,238.029,965.468,0,2.70129,-54.8961,257.416,216.075,1442.93,0
0.115,-5.07548,55.5282,282.855,237.886,964.125,0,2.65829,-54.8084,256.628,216.333,1442.18,0
0.12,-5.00833,55.9454,283.577,237.795,964.913,0,2.96559,-54.889,257.79,217.538,1441.76,0
0.125,-5.0376,55.2326,283.279,238.21,965.708,0,3.00268,-54.974,257.493,217.007,1441.98,0
0.13,-5.03775,55.6016,282.223,238.177,965.387,0,2.34603,-55.025,257.711,216.807,1442.84,0
0.135,-4.89574,55.761,283.703,237.85,964.749,0,2.56069,-54.9618,258.912,216.925,1442.36,0
0.14,-4.95605,55.5405,283.769,238.47,965.323,0,2.46833,-55.0538,258.557,217.22,1441.81,0
0.145,-5.38197,55.8039,282.011,237.865,965.518,0,2.23657,-54.8561,256.769,217.943,1441.32,0
0.15,-4.95366,55.8901,282.361,238.282,965.497,0,2.03161,-54.748,257.893,217.872,1441.85,0
0.155,-4.8961,55.6341,282.671,238.717,965.45,0,2.04012,-54.9783,257.844,218.023,1442.14,0
0.16,-4.95943,55.8895,283.268,238.235,964.783,0,1.81096,-54.7971,257.461,218.499,1441.44,0
0.165,-5.29549,55.7662,282.751,239.04,965.937,0,2.08487,-54.0608,257.611,218.156,1441.23,0
0.17,-5.08996,55.8404,284.264,238.495,964.912,0,1.6416,-54.8279,257.336,217.897,1440.72,0
0.175,-5.1291,55.7725,284.141,239.086,966.371,0,1.7738,-54.4199,258.623,217.95,1441.37,0
0.18,-5.07191,55.7562,283.644,239.279,965.833,0,2.02147,-54.3199,257.255,218.158,1441.37,0
0.185,-5.25646,55.3907,283.355,239.147,966.082,0,1.84947,-54.9601,256.167,219.238,1441.02,0
0.19,-4.76477,55.8146,283.892,238.839,965.33,0,2.01025,-54.3831,257.206,218.917,1441.84,0
0.195,-5.1347,55.4228,282.751,239.289,965.982,0,2.01751,-54.2265,257.077,219.215,1440.9,0
0.2,-5.06195,55.6131,283.886,238.424,965.648,0,1.75261,-54.388,257.102,219.627,1441.39,0
0.205,-5.14374,55.6166,283.716,239.169,965.943,0,1.59854,-54.6667,256.291,219.665,1441.17,0
0.21,-4.96703,55.2326,284.341,239.149,965.906,0,1.75282,-53.9185,255.178,220.078,1441.78,0
0.215,-5.62797,55.4565,284.137,238.761,965.662,0,1.73476,-54.0055,255.344,219.82,1440.66,0
0.22,-5.29602,55.4573,285.741,238.362,966.007,0,1.16485,-53.9484,255.017,220.345,1441.24,0
0.225,-6.23537,55.3325,287.387,238.201,965.667,0,1.75979,-53.867,255.097,219.575,1440.35,0
0.23,-5.65464,55.932,290.807,237.82,965.172,0,0.977541,-53.2575,253.862,220.369,1440.14,0
0.235,-6.19866,56.4447,289.513,238.892,965.762,0,0.564711,-53.0779,254.517,221.263,1440.66,0
0.24,-6.39504,56.7564,292.378,238.431,965.615,0,1.19396,-52.7215,253.427,221.257,1440.12,0
0.245,-6.16332,57.2053,294.446,238.179,965.984,0,0.894863,-53.2017,253.743,222.373,1438.88,0
0.25,-5.89299,57.7703,298.165,238.637,965.355,0,0.855253,-52.308,253.634,222.073,1439.5,0
0.255,-6.14321,57.8533,297.502,238.633,965.125,0,0.747262,-52.2472,253.019,222.481,1438.94,0
0.26,-5.66526,57.7554,297.796,239.054,965.244,0,0.695614,-51.8328,250.044,223.13,1438.52,0
0.265,-6.18552,58.0986,298.046,238.072,965.509,0,0.373213,-51.2896,248.781,223.51,1436.88,0
0.27,-5.7301,57.6848,297.49,238.226,965.433,0,-0.196549,-50.8824,248.737,224.276,1437.02,0
0.275,-5.91749,57.8653,298.08,237.922,965.491,0,-0.702415,-50.1002,247.264,224.842,1437.44,0
0.28,-5.65615,57.2191,297.565,238.291,965.926,0,-0.92058,-49.0448,245.653,224.861,1437.41,0
0.285,-5.4393,57.1735,299.345,237.576,964.983,0,-1.6839,-48.3676,245.235,224.789,1436.89,0
0.29,-4.88063,56.8428,298.777,238.207,966.201,0,-2.40133,-47.6858,241.409,226.214,1437.1,0
0.295,-4.93259,56.6621,300.526,238.895,964.785,0,-2.39054,-46.6345,238.281,226.981,1434.67,0
0.3,-4.9309,56.7844,300.345,237.964,966.697,0,-2.70989,-45.4965,237.163,228.226,1435.48,0
0.305,-4.31867,56.2011,303.456,238.751,965.948,0,-3.40931,-44.6755,234.968,228.211,1434.32,0
0.31,-4.37343,55.8245,300.861,238.556,966.344,0,-3.78495,-43.2638,233.229,229.274,1434.61,0
0.315,-4.46771,56.3876,301.698,238.28,966.39,0,-4.1241,-42.9175,230.297,229.601,1432.83,0
0.32,-4.93804,55.6963,299.317,239.178,966.962,0,-4.38264,-42.3944,229.855,230.495,1433.4,0
0.325,-5.08698,55.5143,299.1,238.597,967.211,0,-5.24845,-41.5236,227.179,231.581,1432.69,0
0.33,-5.72439,54.9864,299.526,239.166,967.369,0,-5.06244,-40.6544,226.199,231.146,1430.49,0
0.335,-6.07937,54.7726,299.223,239.806,967.616,0,-6.15887,-39.9199,223.785,232.375,1430.52,0
0.34,-6.60696,54.3866,300.066,240.681,967.341,0,-6.98598,-39.1097,219.865,233.279,1429.78,0
0.345,-7.85734,54.088,296.98,240.957,968.95,0,-7.13044,-37.8357,216.621,234.426,1429.95,0
