Frame number,1756
First frame,1
Point frequency,200
Analog frequency,1000

Time,Moment.Mx2,Moment.My2,Moment.Mz2,Moment.Mx3,Moment.My3,Moment.Mz3
s,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm
0,-18038.4,3230.6,3563.49,17344.1,5189.23,565.534
0.001,-17921.6,3185.57,3565.74,17159.4,5095.14,611.756
0.002,-18088.5,3251.17,3668.41,16935.9,5080.91,595.696
0.003,-18176.5,3427.86,3657.38,16949.9,5146.29,560.238
0.004,-18114.2,3507.9,3658.51,17057.5,5150.12,507.923
0.005,-18014.8,3389.66,3633.82,17239.2,5336.71,591.757
0.006,-17824,3469.56,3587.45,17136.5,5363.65,563.951
0.007,-17810.1,3532.48,3612.56,17128.1,5512.96,499.035
0.008,-17880.3,3409.88,3621.94,16869.3,5487.93,443.079
0.009,-17835.4,3575.13,3582.16,16938,5580.7,436.472
0.01,-17731.5,3568.91,3635.14,16809.7,5608.23,414.505
0.011,-17700.9,3553.56,3718.54,16836.4,5541.83,491.208
0.012,-17704.2,3648.15,3746.93,16719.6,5517.86,502.722
0.013,-17881.6,3843.03,3776.12,16885.4,5793.25,472.004
0.014,-17886.9,3850.93,3755.96,16818.8,5796.52,345.346
0.015,-17719.3,3952.35,3735.78,16875.8,5746.05,321.115
0.016,-17766.7,3873.2,3712.45,16903.5,5607.13,349.597
0.017,-17677.2,3909.08,3746.09,16762.6,5786.24,416.184
0.018,-17481.7,4028.15,3743.09,16586.7,6025.9,351.339
0.019,-17628,3900.07,3762.76,16636.3,5854.87,296.976
0.02,-17756.2,3842.36,3778.83,16817.4,5861.06,336.023
0.021,-17671.1,3766.35,3707.63,16746.6,5927.84,355.747
0.022,-17671.2,3822.97,3746.7,16600.6,5975.86,296.012
0.023,-17702.9,4118.56,3783.63,16542,6086.82,312.596
0.024,-17479.8,4024.1,3806.73,16519.7,6147.85,349.292
0.025,-17598.6,3948.82,3819.84,16477.3,6177.03,400.299
0.026,-17666.2,4081.77,3791.08,16533.6,6175.68,356.907
0.027,-17588.2,4231.15,3809.94,16495.7,6195.13,285.291
0.028,-17415.2,4105.29,3887.46,16439,6290.67,219.736
0.029,-17430.9,4109.7,3858.31,16481.6,6350.05,257.862
0.03,-17603.7,4230.59,3892.5,16589.9,6301.77,224.225
0.031,-17464.1,4112.34,3839.31,16420.1,6319.52,228.451
0.032,-17654.5,4251.6,3809.87,16322.1,6266.39,214.338
0.033,-17578.7,4427.04,3919.1,16346.5,6351.75,155.008
0.034,-17516.6,4340.26,3957.19,16363.1,6493.18,165.701
0.035,-17604.8,4292.66,3928.36,16387.4,6482.88,148.345
0.036,-17496.5,4389.48,3948.27,16440.5,6619,147.305
0.037,-17404.3,4451.44,3975.97,16239.6,6599.04,215.157
0.038,-17454.9,4357.08,3949.94,16255.8,6524.13,168.592
0.039,-17449.1,4499.25,3962.19,16426.1,6693.21,57.7116
0.04,-17410.7,4668.05,4083.22,16543.3,6701.15,25.014
0.041,-17344.5,4592.72,4044.48,16537.4,6899.39,98.2692
0.042,-17483.6,4659.7,4016.16,16396.6,6826.73,58.2391
0.043,-17480.2,4650.14,4065.49,16342.5,6919.11,-83.16
0.044,-17420.4,4687.94,4181.67,16366.6,7010.29,-101.587
0.045,-17225.5,4724.67,4133.94,16175,7029.29,-85.2614
0.046,-17199.1,4789.17,4122.04,16400.4,7307.79,-117.488
0.047,-17195,4766.45,4131.55,16374.5,7276.92,-295.992
0.048,-17142,4965.24,4171.58,16329.1,7278.4,-310.899
0.049,-17134.1,4896.82,4204.55,16449.7,7419.25,-300.854
0.05,-17259.7,4731.98,4180.52,16353.9,7392.4,-413.69
0.051,-17080.5,4835.58,4226.41,16260.6,7457.06,-473.986
0.052,-16846.9,4946.34,4241.99,16144.1,7742.26,-436.213
0.053,-17000,4916.32,4261.51,16321.8,7788.65,-490.339
0.054,-16948.6,5009.33,4344.23,16224.5,7873.47,-525.886
0.055,-16922.1,5042.37,4283.7,16280.8,7847.51,-584.795
0.056,-16873.3,4935.25,4298.69,16048.6,8024.22,-640.592
0.057,-16869.6,4895.32,4313.63,15939.6,7927.91,-683.611
0.058,-16936.2,4928,4362.8,16058.8,7946.23,-757.039
0.059,-17038.8,4952.3,4323.36,16134.2,8064.81,-769.842
0.06,-16809.2,5062.55,4391.16,16090.3,8140.85,-822.355
0.061,-16909.2,5017.5,4494.18,16068.5,8230.73,-893.611
0.062,-16705.2,5246.97,4435.29,16056.3,8381.46,-945.004
0.063,-16672.4,5237.7,4464.49,15943.4,8364.45,-972.533
0.064,-16691.9,5038.84,4458.72,15965.8,8526.53,-920.056
0.065,-16565.4,4985.89,4468.05,15824,8617.21,-908.908
0.066,-16547.2,5146.03,4491.71,15719.9,8631.05,-929.438
0.067,-16535.7,5259.95,4512.66,15762.8,8652.92,-979.552
0.068,-16425.6,5106.77,4480.06,15725.4,8725.34,-1059.99
0.069,-16489.4,5123.14,4508.65,15503.7,8908.4,-1144.63
0.07,-16435.9,5197.06,4506.42,15508.1,9007.73,-1230.52
0.071,-16301.6,5085.37,4457.1,15601.4,8981.59,-1244.61
0.072,-16400.3,4994.69,4466.57,15629.2,9092.61,-1164.52
0.073,-16309.2,4975.31,4527.21,15627.3,9288.9,-1232.87
0.074,-16313.9,5008.37,4552.83,15656.2,9259.25,-1311.78
0.075,-16373.4,5134.35,4629.74,15386,9353.16,-1352.06
0.076,-16379.4,4828.78,4581.82,15636.9,9393.81,-1352.1
0.077,-16368.3,4923.74,4538.76,15400.2,9374.63,-1373.81
0.078,-16191,4939.61,4605.12,15242.5,9405.64,-1255
0.079,-16169.5,4864.74,4594.91,15148.9,9520.62,-1281.29
0.08,-16210.3,5027.13,4565.65,15175.5,9544.06,-1394.81
0.081,-16056,4879.95,4590.8,15277.1,9611.4,-1428.67
0.082,-15925.1,4717.97,4600.15,15054.9,9895.55,-1426.77
0.083,-16062.4,4851.44,4679.38,15064.9,9847.37,-1443.07
0.084,-16099.6,5032.68,4660.14,14986.7,10048.8,-1478.39
0.085,-16195.6,4854.08,4630.69,14981.8,10176.1,-1563.69
0.086,-15765.4,4860.18,4637,14947.6,10176.6,-1480.25
0.087,-15799.6,4747.81,4612.9,14695.8,10102.3,-1484.74
0.088,-15960.5,4669.95,4586.91,14743.3,10386.8,-1511.27
0.089,-15729.6,4754.25,4554.77,14675.8,10505.7,-1597.84
0.09,-15457.5,4751.64,4621.68,14597.3,10335.9,-1595.23
0.091,-15478,4776.91,4641.51,14495.9,10344.7,-1560.76
0.092,-15530.7,4782.76,4595.74,14338.8,10575.2,-1581.16
0.093,-15551.5,4811.42,4568.28,14534.7,10547.2,-1595.18
0.094,-15405.3,4767.66,4478.97,14549.1,10569.4,-1624.07
0.095,-15429.4,4731.41,4445.04,14331.1,10557.6,-1623.34
0.096,-15337.2,4686.35,4376.3,14350.9,10675.2,-1718.12
0.097,-15400,4567.35,4437.48,14360.9,10686.5,-1678.98
0.098,-15219.1,4783.1,4385.67,14425.9,10901.9,-1694.36
0.099,-15105.6,4708.24,4294.8,14235.6,10887.6,-1706.18
0.1,-14883.5,4691.78,4361.87,14197.6,10793.9,-1671.66
0.101,-15001,4656.42,4303.27,14294.1,10785.1,-1744.88
0.102,-15037.2,4486.02,4339.79,14305.3,10992.3,-1827.7
0.103,-15003.3,4422.21,4349.6,14390.1,11070,-1790.2
